TLID,FNODE,TNODE,LENGTH
62043177,924,864,890.96681
62043179,864,862,98.67844
62043180,864,868,186.38592
62043184,1212,1206,63.70697
62043186,1194,1189,159.83357
62043187,1199,1194,91.04528
62043188,1206,1202,31.44176
62043189,1218,1206,151.09916
62043190,1230,1218,130.17929
62043193,1199,1203,79.34698
62043194,1203,1194,89.57521
62043195,1215,1203,99.47604
62043196,1223,1215,83.21741
62043197,1229,1215,96.08608
62043198,1193,1192,72.7328
62043199,1193,1187,108.66801
62043200,1211,1193,184.68342
62043201,1230,1211,120.7271
62043202,1211,1218,73.81005
62043203,1229,1266,627.10529
62043204,1223,1226,31.57138
62043205,1212,1223,59.57512
62043207,1187,1191,46.15963
62043208,1187,1177,91.37569
62043209,1177,1160,228.62316
62043210,1145,1160,391.05154
62043211,1116,1131,765.31731
62043212,1091,1116,571.82954
62043216,1264,1275,405.01395
62043217,1266,1264,224.68614
62043218,1267,1266,119.77787
62043219,1272,1268,169.37024
62043220,1334,1327,325.74456
62043221,1400,1352,730.29338
62043222,1483,1402,1185.80021
62043223,3638,3331,510.41008
62043224,2412,2477,822.3302
62043225,2934,2477,629.54388
62043226,2477,2110,526.51884
62043227,3336,3547,708.37686
62043229,3411,3385,161.49379
62043231,2934,3142,448.93918
62043234,1400,1465,859.83414
62043236,1186,1178,58.43488
62043239,3664,3656,11.13728
62043240,3664,3667,10.92404
62043243,3612,3664,204.85284
62043244,3571,3537,139.02276
62043245,3571,3702,218.80817
62043248,2715,2793,148.19615
62043251,2509,2678,400.11837
62043254,2147,2116,67.03252
62043256,1489,1434,338.50161
62043257,2997,3077,204.79346
62043258,2997,2966,77.57671
62043259,1477,1489,73.7357
62043260,1446,1477,163.89084
62043261,3110,2997,280.63503
62043262,3110,3200,264.99539
62043264,1603,1615,134.5346
62043265,1603,1521,531.2561
62043266,1617,1603,41.89797
62043268,1668,1617,170.38503
62043269,1816,1668,273.90395
62043270,1816,1819,1002.39586
62043271,1834,1816,44.1425
62043272,2014,1834,337.04864
62043273,2014,2147,542.41152
62043274,2593,2403,238.07833
62043275,2593,2997,762.86985
62043276,3188,2706,763.719
62043277,3188,3183,79.40968
62043278,1589,1610,201.4299
62043280,3281,3188,302.98041
62043282,3547,3281,376.53619
62043283,3231,3281,147.80412
62043284,3819,3547,440.45926
62043285,3223,3231,189.31616
62043286,1463,1537,454.03091
62043287,2898,3231,719.55434
62043290,1145,1144,30.69337
62043291,1413,1416,49.07765
62043292,1405,1413,66.20461
62043294,1374,1387,45.47905
62043295,1374,1350,198.31875
62043296,1251,1272,536.26093
62043298,3411,3554,285.69627
62043299,3835,3802,343.60137
62043300,1334,1374,635.0406
62043301,2151,2283,724.49207
62043302,2151,2057,300.16946
62043303,3770,3801,72.87793
62043305,2110,2151,168.48857
62043306,1210,1231,194.36332
62043307,2024,2032,57.01877
62043308,2024,1910,222.99537
62043309,3567,3743,530.36799
62043310,1175,1188,253.87872
62043311,2112,2024,185.45472
62043312,1270,1210,911.75501
62043313,2042,2112,158.60155
62043314,1091,1085,68.04569
62043316,2412,2251,208.16697
62043317,1186,1175,424.04095
62043318,1400,1355,231.30458
62043320,2748,2412,473.83166
62043321,3052,2746,551.45307
62043322,3052,3060,24.03361
62043330,1822,1628,1051.95204
62043331,947,924,612.58693
62043340,4570,4711,173.39513
62043370,3537,3562,428.43252
62043378,1819,1809,61.76386
62043388,1290,1284,35.13799
62043392,1202,1199,109.85886
62043395,1268,1267,67.08423
62043398,3370,3336,204.20646
62043401,2706,2593,153.53073
62043405,1336,1313,415.84582
62043407,1610,1617,174.3302
62043410,1350,1336,138.56522
62043413,1466,1413,292.21936
62043415,1416,1420,105.61443
62043418,1569,1472,697.20281
62043420,2289,2593,1106.35691
62043424,1132,1137,277.03726
62043427,2733,2748,80.43916
62043429,1997,2024,176.69979
62043432,3801,3815,48.04571
62043436,1292,1230,1449.91797
62043439,1162,1116,1548.21348
62043442,3060,3233,407.84886
62043447,1085,1039,884.62289
62043452,3617,3638,187.59903
62043454,3331,3052,505.75674
62043458,1465,1485,144.49592
62043460,1387,1405,87.56278
62043466,1238,1241,54.32889
62043468,1178,1176,26.57059
62043472,1143,1142,19.40554
62043479,1131,1132,14.18034
62043482,1188,1210,293.87638
62043486,3581,3617,85.55268
62043487,3581,3545,83.48027
62043488,3005,3052,168.07611
62043489,3005,2853,228.49054
62043490,3546,3567,63.40889
62043491,3546,3614,219.59096
62043492,2831,2830,246.21275
62043494,2831,2830,153.21029
62043495,2110,2035,125.38817
62043496,1910,1845,130.98115
62043499,1910,1844,111.37094
62043500,1820,1782,84.34247
62043501,3385,3370,61.24123
62043502,3385,3133,353.18376
62043503,2314,2014,453.37308
62043504,2314,2267,137.61736
62043506,1859,1829,52.05165
62043507,1859,1878,22.80481
62043508,1701,1834,585.96097
62043509,1629,1701,219.09878
62043510,1629,1636,371.82926
62043511,1701,1736,517.2635
